instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
264713,1034,HANGSENG BEES-NAV,HANGSENG BEES-NAV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264969,1035,INDIA VIX,INDIA VIX,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260617,1018,NIFTY 100,NIFTY 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
264457,1033,NIFTY 200,NIFTY 200,0.0,,0.0,0.0,0,EQ,INDICES,NSE
256265,1001,NIFTY 50,NIFTY 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268041,1047,NIFTY 500,NIFTY 500,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265993,1039,NIFTY ALPHA 50,NIFTY ALPHA 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
273673,1069,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263433,1029,NIFTY AUTO,NIFTY AUTO,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260105,1016,NIFTY BANK,NIFTY BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257289,1005,NIFTY COMMODITIES,NIFTY COMMODITIES,0.0,,0.0,0.0,0,EQ,INDICES,NSE
288777,1128,NIFTY CONSR DURBL,NIFTY CONSR DURBL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257545,1006,NIFTY CONSUMPTION,NIFTY CONSUMPTION,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268297,1048,NIFTY CPSE,NIFTY CPSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257033,1004,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261641,1022,NIFTY ENERGY,NIFTY ENERGY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
257801,1007,NIFTY FIN SERVICE,NIFTY FIN SERVICE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
288265,1126,NIFTY FINSRV25 50,NIFTY FINSRV25 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261897,1023,NIFTY FMCG,NIFTY FMCG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270345,1056,NIFTY GROWSECT 15,NIFTY GROWSECT 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269065,1051,NIFTY GS 10YR,NIFTY GS 10YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269321,1052,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269577,1053,NIFTY GS 11 15YR,NIFTY GS 11 15YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
269833,1054,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268553,1049,NIFTY GS 4 8YR,NIFTY GS 4 8YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
268809,1050,NIFTY GS 8 13YR,NIFTY GS 8 13YR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270089,1055,NIFTY GS COMPSITE,NIFTY GS COMPSITE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
288521,1127,NIFTY HEALTHCARE,NIFTY HEALTHCARE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
291337,1138,NIFTY IND DIGITAL,NIFTY IND DIGITAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
291081,1137,NIFTY INDIA MFG,NIFTY INDIA MFG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261385,1021,NIFTY INFRA,NIFTY INFRA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259849,1015,NIFTY IT,NIFTY IT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
289545,1131,NIFTY LARGEMID250,NIFTY LARGEMID250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
290825,1136,NIFTY M150 QLTY50,NIFTY M150 QLTY50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263945,1031,NIFTY MEDIA,NIFTY MEDIA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263689,1030,NIFTY METAL,NIFTY METAL,0.0,,0.0,0.0,0,EQ,INDICES,NSE
290569,1135,NIFTY MICROCAP250,NIFTY MICROCAP250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270601,1057,NIFTY MID LIQ 15,NIFTY MID LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
288009,1125,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),0.0,,0.0,0.0,0,EQ,INDICES,NSE
256777,1003,NIFTY MIDCAP 100,NIFTY MIDCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266249,1040,NIFTY MIDCAP 150,NIFTY MIDCAP 150,0.0,,0.0,0.0,0,EQ,INDICES,NSE
260873,1019,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266505,1041,NIFTY MIDSML 400,NIFTY MIDSML 400,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262153,1024,NIFTY MNC,NIFTY MNC,0.0,,0.0,0.0,0,EQ,INDICES,NSE
270857,1058,NIFTY NEXT 50,NIFTY NEXT 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
289033,1129,NIFTY OIL AND GAS,NIFTY OIL AND GAS,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262409,1025,NIFTY PHARMA,NIFTY PHARMA,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262665,1026,NIFTY PSE,NIFTY PSE,0.0,,0.0,0.0,0,EQ,INDICES,NSE
262921,1027,NIFTY PSU BANK,NIFTY PSU BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271113,1059,NIFTY PVT BANK,NIFTY PVT BANK,0.0,,0.0,0.0,0,EQ,INDICES,NSE
261129,1020,NIFTY REALTY,NIFTY REALTY,0.0,,0.0,0.0,0,EQ,INDICES,NSE
263177,1028,NIFTY SERV SECTOR,NIFTY SERV SECTOR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267017,1043,NIFTY SMLCAP 100,NIFTY SMLCAP 100,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267273,1044,NIFTY SMLCAP 250,NIFTY SMLCAP 250,0.0,,0.0,0.0,0,EQ,INDICES,NSE
266761,1042,NIFTY SMLCAP 50,NIFTY SMLCAP 50,0.0,,0.0,0.0,0,EQ,INDICES,NSE
290313,1134,NIFTY TOTAL MKT,NIFTY TOTAL MKT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271881,1062,NIFTY100 EQL WGT,NIFTY100 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
291593,1139,NIFTY100 ESG,NIFTY100 ESG,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267785,1046,NIFTY100 LIQ 15,NIFTY100 LIQ 15,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272137,1063,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
272393,1064,NIFTY100 QUALTY30,NIFTY100 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
289801,1132,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265737,1038,NIFTY200 QUALTY30,NIFTY200 QUALTY30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
290057,1133,NIFTY200MOMENTM30,NIFTY200MOMENTM30,0.0,,0.0,0.0,0,EQ,INDICES,NSE
265225,1036,NIFTY50 DIV POINT,NIFTY50 DIV POINT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
271625,1061,NIFTY50 EQL WGT,NIFTY50 EQL WGT,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259081,1012,NIFTY50 PR 1X INV,NIFTY50 PR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
258825,1011,NIFTY50 PR 2X LEV,NIFTY50 PR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259593,1014,NIFTY50 TR 1X INV,NIFTY50 TR 1X INV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0.0,,0.0,0.0,0,EQ,INDICES,NSE
267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0.0,,0.0,0.0,0,EQ,INDICES,NSE
289289,1130,NIFTY500 MULTICAP,NIFTY500 MULTICAP,0.0,,0.0,0.0,0,EQ,INDICES,NSE
4331777,16921,20MICRONS,20 MICRONS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1984001,7750,21STCENMGM-BE,21ST CENTURY MGMT SERVICE,0.0,,0.0,0.05,1,EQ,NSE,NSE
3343617,13061,360ONE,360 ONE WAM,0.0,,0.0,0.05,1,EQ,NSE,NSE
1595393,6232,3IINFOLTD,3I INFOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
121345,474,3MINDIA,3M INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
664321,2595,3PLAND,3P LAND HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
113921,445,5PAISA,5PAISA CAPITAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
3038977,11871,63MOONS-BE,63 MOONS TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
5352961,20910,A2ZINFRA-BE,A2Z INFRA ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE
3210753,12542,AAATECH-BE,AAA TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
61441,240,AAKASH-BE,AAKASH EXPLORATION SER L,0.0,,0.0,0.05,1,EQ,NSE,NSE
1343489,5248,AAREYDRUGS-BE,AAREY DRUGS & PHARM,0.0,,0.0,0.05,1,EQ,NSE,NSE
263681,1030,AARON,AARON INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
4389121,17145,AARTECH,AARTECH SOLONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
1147137,4481,AARTIDRUGS,AARTI DRUGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
1793,7,AARTIIND,AARTI INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
3550209,13868,AARTIPHARM,AARTI PHARMALABS,0.0,,0.0,0.05,1,EQ,NSE,NSE
4923649,19233,AARTISURF,AARTI SURFACTANTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
3525377,13771,AARVEEDEN,AARVEE DEN. & EXP.,0.0,,0.0,0.05,1,EQ,NSE,NSE
4882689,19073,AARVI,AARVI ENCON,0.0,,0.0,0.05,1,EQ,NSE,NSE
4342017,16961,AATMAJ-SM,AATMAJ HEALTHCARE,0.0,,0.0,0.05,2000,EQ,NSE,NSE
1378561,5385,AAVAS,AAVAS FINANCIERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
